algorithm,num_agents,seed,isr,success,reached,makespan,flowtime,detour_ratio,runtime,collisions,deadlocks_detected,deadlocks_resolved,resolution_rate,agents_replanned,memory_mb,initial_planning_time,wfg_update_time,detection_time,resolution_time,map_id,map_type,map_size
drimaps,60,42,0.6667,False,40,137,1564,2.1535,0.5457,0,165,165,1.0,201,43.35,0.0598,0.0411,0.0153,0.239,random,random,32x32
drimaps_no_cycle,60,42,0.2167,False,13,39,250,1.2308,0.6482,0,148,148,1.0,148,43.6,0.0643,0.0927,0.0011,0.2843,random,random,32x32
drimaps_no_classify,60,42,0.6333,False,38,204,1999,2.5915,0.482,0,137,137,1.0,174,43.6,0.0576,0.0477,0.0105,0.1782,random,random,32x32
drimaps_no_minimal,60,42,0.45,False,27,83,975,1.8916,0.9385,0,301,301,1.0,780,44.85,0.0655,0.0623,0.0129,0.6032,random,random,32x32
drimaps,80,42,0.5875,False,47,105,1601,1.7434,0.8101,0,234,234,1.0,320,45.47,0.0741,0.0734,0.013,0.3415,random,random,32x32
drimaps_no_cycle,80,42,0.2125,False,17,43,295,1.0537,0.7034,0,73,73,1.0,76,45.47,0.0812,0.1466,0.0011,0.1577,random,random,32x32
drimaps_no_classify,80,42,0.55,False,44,198,2026,2.4029,0.7275,0,195,181,0.9282,286,45.47,0.0738,0.0861,0.0139,0.2444,random,random,32x32
drimaps_no_minimal,80,42,0.5375,False,43,94,1459,1.7369,1.0148,0,266,266,1.0,634,46.34,0.0747,0.0833,0.0134,0.5314,random,random,32x32
drimaps,60,123,0.5667,False,34,76,808,1.3219,0.4932,0,172,172,1.0,210,46.34,0.0596,0.0386,0.0085,0.2265,random,random,32x32
drimaps_no_cycle,60,123,0.3333,False,20,78,280,1.1232,0.5444,0,137,137,1.0,153,46.34,0.0526,0.0595,0.0008,0.2666,random,random,32x32
drimaps_no_classify,60,123,0.5167,False,31,111,817,1.5077,0.4534,0,174,174,1.0,201,46.34,0.0576,0.043,0.0091,0.187,random,random,32x32
